Hora,PMA,Speed,SPL,SNR,Calado,Direct,Indirect,Detections,Alone,Visible,Duration,Ideal
-0.732097211,77.5539,22.6685,124.1483,19.0668,5.1,79.82366444,82.83367314,1,24.66666667,-1,0,-1
-0.955170776,84.0785,22.1641,150.3764,5.1011,5.1,86.17658709,88.97192907,1,36.33333333,-1,0,-1
0.089618615,16.3084,13.8382,139.2225,5.1959,12.5,19.95529781,39.97766765,1,81.83333333,1,13.8,1
0.666803489,32.1613,14.7984,146.1887,17.6995,12.5,34.15551519,48.64770516,0,30,1,15,-1
0.414957922,32.4924,14.6929,128.1084,6.2358,12.5,34.46746376,48.86722887,2,12.16666667,-1,0,-1
0.699715297,61.3255,14.5633,143.3552,13.0969,12.5,62.39444647,71.36572672,1,148.8333333,1,12,1
-0.895161385,76.5742,16.1015,144.1135,13.1668,12.5,77.4329265,84.82840388,1,66.5,1,12.4,1
0.192950118,92.5153,13.3028,127.7886,15.1673,12.5,93.2273068,99.45516947,2,10.66666667,1,9.25,1
-0.863395551,93.492,16.2,128.114,12.9624,12.5,94.19662448,100.3643565,2,66.33333333,1,9.55,1
-0.384765237,104.2171,13.6011,129.5077,10.2657,12.5,104.849673,110.4239735,1,15.83333333,-1,0,-1
-0.751552042,115.8992,15.8365,141.8503,10.1743,12.5,116.4683415,121.5108002,1,119.5,-1,0,-1
0.619093949,128.0889,20.2868,148.2661,26.9226,12.5,128.6041069,133.1878985,0,30,1,16.3,1
-0.037661114,129.3736,13.4371,137.4106,20.8976,12.5,129.883711,134.4238758,2,53.5,1,12.3,-1
0.259170249,132.0946,13.3788,127.1984,12.8141,12.5,132.5942433,137.04464,2,60.16666667,1,10.8,-1
0.916653629,133.05,12.7933,150.9211,28.3908,12.5,133.5460688,137.9657657,0,30,1,26.3,-1
0.439481968,139.0323,13.7264,138.2408,13.1757,12.5,139.5070982,143.7436275,1,77.5,1,12.8,1
0.842060369,139.0794,17.1058,148.7928,26.9451,12.5,139.5540379,143.7891842,0,30,1,0.1,-1
0.106264071,143.8214,14.216,143.4484,9.9071,12.5,144.2804391,148.3807437,2,60.33333333,1,8.2,-1
0.264714685,157.8829,17.5957,134.7424,4.1108,12.5,158.301169,162.0470923,2,108.3333333,1,10.6,-1
-0.431167361,160.8924,14.6214,133.0845,7.4639,12.5,161.3028654,164.9806485,1,81.33333333,-1,0,-1
-0.30846364,175.5904,15.1084,139.9975,8.7108,12.5,175.9665837,179.3439114,1,77.5,1,14.7,1
0.118548388,179.239,15.2266,150.2358,25.7521,12.5,179.6075419,182.9176567,1,129.3333333,1,27.2,1
-0.999825355,23.2426,22.1598,146.7638,5.7054,8.6,27.8815074,40.03721337,1,42.33333333,-1,0,-1
-0.999826712,30.0405,15.5815,146.1598,5.8952,8.6,33.7578382,44.33048207,4,11.16666667,1,9.35,1
-0.100260417,36.8021,17.9775,124.366,11.7279,8.6,39.89429238,49.16456615,3,47.66666667,-1,0,-1
-0.984311299,45.6326,18.2722,128.7678,13.3387,8.6,48.1611273,56.08113928,1,40.16666667,-1,0,-1
-0.988228381,53.0287,12.7334,146.1538,23.6541,8.6,55.21958913,62.24791582,1,63.83333333,1,7.35,1
-0.36927373,62.5457,18.9849,126.9033,12.8925,8.6,64.41369876,70.53172753,3,22,-1,0,-1
-0.951168815,68.361,18.0789,137.4832,18.6917,8.6,70.07414874,75.73629461,2,32.66666667,1,8.7,-1
-0.011198962,78.285,20.8885,133.8637,16.4094,8.6,79.78534468,84.80154023,1,7.166666667,1,10.3,1
-0.99802216,80.8271,18.5728,132.4667,9.2594,8.6,82.28110412,87.15377269,3,72.83333333,-1,0,-1
-0.331543723,89.4131,18.2683,153.0679,12.469,8.6,90.72961177,95.17070165,1,43.33333333,1,10.8,-1
-0.999920861,114.2607,16.2008,142.621,29.4853,8.6,115.2938314,118.8203163,1,85.33333333,1,8,-1
0.980299912,125.0097,18.7402,142.4017,26.8675,8.6,125.9546946,129.1904992,1,85.33333333,1,16.6,1
-0.9926785,146.8904,18.5508,137.5541,8.7789,8.6,147.6954624,150.4644463,3,31.66666667,-1,0,-1
-0.091284366,150.2206,16.5741,134.4958,15.4068,8.6,151.0079093,153.7172361,0,30,1,19.8,1
-0.993735452,168.2051,17.7149,123.5614,8.7767,8.6,168.9086015,171.3350976,1,54,-1,0,-1
-0.216652604,104.9204,18.3751,128.8795,24.2436,8.5,106.059136,109.8387014,2,69.66666667,1,15.3,-1
-0.60169886,204.1465,15.9386,119.7782,4.2184,8.5,204.7340799,206.7173032,3,47.66666667,-1,0,-1
0.224738474,28.8911,17.5756,113.7019,2.5463,8.5,32.78636392,43.48500499,3,20.66666667,-1,0,-1
-0.986572162,145.016,14.5561,118.892,4.4614,8.5,145.8420044,148.6132237,3,62,-1,0,-1
-0.184880522,185.5465,17.6035,134.9049,4.7196,8.5,186.1927863,188.3713186,2,10.16666667,-1,0,-1
-0.579696042,33.9874,19.2953,143.7471,12.1099,7.2,37.91283897,46.1365729,2,53.16666667,1,10,1
0.650663779,56.1907,17.6242,140.2942,9.3514,7.2,58.64839952,64.27157044,2,34,1,13.1,-1
-0.996655239,68.9666,13.7556,134.5836,8.2751,7.2,70.98332139,75.69565321,1,132,1,20.3,1
-0.854874142,91.2549,20.5594,129.628,7.9865,7.2,92.78845173,96.44115705,1,80,1,14.5,1
-0.681625973,100.7237,23.4948,133.7707,11.0086,7.2,102.1151494,105.4452642,2,4.333333333,1,3.65,-1
-0.374404304,103.2865,16.9782,135.3242,2.3025,7.2,104.6438774,107.8959734,2,28.33333333,1,13.4,1
0.604541188,104.7179,18.1915,135.5319,15.1194,7.2,106.0569591,109.2670059,1,85.83333333,1,30,1
-0.740804596,106.8562,18.4233,138.5389,5.8262,7.2,108.1687916,111.3179567,1,42.5,-1,0,-1
0.521878369,115.1999,18.7623,137.3916,4.5446,7.2,116.4184563,119.3501444,3,53,1,15.7,-1
-0.80914521,127.1864,18.2722,120.2792,8.9577,7.2,128.2911546,130.9573226,4,0.166666667,1,9.95,1
-0.917610158,132.6753,22.8726,134.2916,2.7359,7.2,133.7347196,136.2944431,2,38.83333333,-1,0,-1
-0.957529434,138.2799,18.8185,135.8494,7.5238,7.2,139.2967004,141.7560254,1,11,1,14.8,1
0.692825207,138.4026,19.0497,141.0693,6.69,7.2,139.4185055,141.8757192,1,100.5,1,17.3,1
0.692825207,138.4026,19.0497,140.1619,7.2034,7.2,139.4185055,141.8757192,1,95.33333333,1,16.6,1
-0.098885565,151.1775,18.5598,129.5901,12.0628,7.2,152.108108,154.3634559,1,41.66666667,1,12.9,1
0.466708252,152.078,16.3751,154.8446,11.2628,7.2,153.003131,155.2454769,1,31.16666667,1,11.5,1
-0.171212663,153.0871,16.7067,141.2452,12.2596,7.2,154.0061693,156.2341198,1,49,1,18,1
-0.837996604,153.298,16.6436,135.0551,11.7234,7.2,154.2158124,156.4407773,3,23.5,1,16.5,-1
-0.500692611,161.2679,17.9106,152.1988,2.4382,7.2,162.1406043,164.2582588,1,67,1,11,1
-0.416016289,185.3032,19.2609,135.67,3.8859,7.2,186.0632041,187.9114577,2,13.5,1,14.3,-1
-0.959046624,15.815,24.1948,140.1797,16.6264,12.3,19.67242296,39.59550764,2,123,1,27.8,-1
-0.996105448,28.3475,22.7041,147.2833,13.7798,12.3,30.66709566,46.0572552,2,80.83333333,1,3.75,1
